Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,0.079536,0.079056,0.07952,0.079051,0.079051,205008
2022-01-02,0.079043,0.080145,0.079351,0.080886,0.080886,208711
2022-01-03,0.080885,0.081274,0.080666,0.080963,0.080963,260036
2022-01-04,0.080962,0.08183,0.080832,0.082664,0.082664,305701
2022-01-05,0.082668,0.081933,0.080739,0.081489,0.081489,414546
2022-01-06,0.081473,0.081473,0.078212,0.079201,0.079201,562865
2022-01-07,0.079188,0.079264,0.075833,0.076838,0.076838,589399
2022-01-08,0.076845,0.076978,0.074028,0.074088,0.074088,384285
2022-01-09,0.074081,0.075214,0.073989,0.075343,0.075343,294302
2022-01-10,0.075339,0.075293,0.074031,0.073721,0.073721,467125
2022-01-11,0.073718,0.07567,0.073477,0.07577,0.07577,355941
2022-01-12,0.075778,0.077085,0.075536,0.076731,0.076731,379140
2022-01-13,0.076728,0.076737,0.076498,0.076266,0.076266,359096
2022-01-14,0.076274,0.076868,0.076291,0.076799,0.076799,314688
2022-01-15,0.076795,0.077069,0.07684,0.077136,0.077136,222802
2022-01-16,0.077133,0.077731,0.07698,0.077723,0.077723,220484
2022-01-17,0.077723,0.077718,0.075725,0.07603,0.07603,292169
2022-01-18,0.076029,0.076315,0.074673,0.074666,0.074666,307350
2022-01-19,0.074662,0.074682,0.074068,0.074162,0.074162,315909
2022-01-20,0.074148,0.075271,0.073768,0.073773,0.073773,261696
2022-01-21,0.073818,0.073776,0.069113,0.070162,0.070162,735004
2022-01-22,0.070251,0.071354,0.06784,0.06866,0.06866,781316
2022-01-23,0.06871,0.070447,0.06845,0.06988,0.06988,454326
2022-01-24,0.069904,0.06994,0.065365,0.066577,0.066577,769917
2022-01-25,0.066579,0.066872,0.06594,0.066459,0.066459,437836
2022-01-26,0.06645,0.069838,0.066425,0.066971,0.066971,576084
2022-01-27,0.066948,0.067957,0.065129,0.065243,0.065243,434230
2022-01-28,0.065206,0.067452,0.065366,0.067411,0.067411,388156
2022-01-29,0.067398,0.068231,0.067367,0.068097,0.068097,292936
2022-01-30,0.068136,0.069011,0.068111,0.068661,0.068661,250575
2022-01-31,0.068656,0.069817,0.067486,0.069856,0.069856,358033
2022-02-01,0.069846,0.071643,0.069837,0.072067,0.072067,340571
2022-02-02,0.072063,0.072434,0.071387,0.072602,0.072602,375512
2022-02-03,0.072585,0.073328,0.071077,0.072109,0.072109,343309
2022-02-04,0.07216,0.071892,0.072127,0.071892,0.071892,457514
2022-02-05,0.071913,0.07303,0.071922,0.072745,0.072745,316161
2022-02-06,0.072753,0.072139,0.071766,0.072089,0.072089,223190
2022-02-07,0.072088,0.071729,0.071861,0.07168,0.07168,346646
2022-02-08,0.071692,0.071137,0.070734,0.070778,0.070778,388411
2022-02-09,0.070746,0.073051,0.070825,0.073061,0.073061,314652
2022-02-10,0.073076,0.072577,0.070563,0.070641,0.070641,427624
2022-02-11,0.070639,0.071522,0.068508,0.069029,0.069029,378323
2022-02-12,0.069029,0.069745,0.068391,0.069059,0.069059,266410
2022-02-13,0.069045,0.06917,0.067773,0.068333,0.068333,214585
2022-02-14,0.068255,0.069296,0.068128,0.068882,0.068882,285641
2022-02-15,0.068888,0.071317,0.068659,0.071337,0.071337,312309
2022-02-16,0.07135,0.071376,0.070274,0.071149,0.071149,280980
2022-02-17,0.071127,0.071488,0.071083,0.071081,0.071081,391243
2022-02-18,0.071152,0.071818,0.069267,0.069589,0.069589,393400
2022-02-19,0.069568,0.070265,0.068153,0.068882,0.068882,243611
2022-02-20,0.068884,0.068884,0.067833,0.068398,0.068398,302915
2022-02-21,0.068373,0.070001,0.069369,0.069421,0.069421,502933
2022-02-22,0.069397,0.069573,0.068396,0.068936,0.068936,427315
2022-02-23,0.06894,0.070555,0.069478,0.069453,0.069453,358817
2022-02-24,0.069394,0.069073,0.066717,0.067777,0.067777,764684
2022-02-25,0.067787,0.071492,0.067657,0.070498,0.070498,438843
2022-02-26,0.07051,0.071903,0.070773,0.071119,0.071119,299824
2022-02-27,0.071103,0.071243,0.069252,0.069526,0.069526,428294
2022-02-28,0.069509,0.067172,0.068788,0.067585,0.067585,446045
2022-03-01,0.067598,0.067996,0.066746,0.067016,0.067016,422897
2022-03-02,0.067016,0.068153,0.067141,0.067164,0.067164,378756
2022-03-03,0.067165,0.067382,0.066287,0.066769,0.066769,308378
2022-03-04,0.066781,0.066786,0.066684,0.066871,0.066871,370409
2022-03-05,0.066904,0.067716,0.066972,0.067634,0.067634,204879
2022-03-06,0.067637,0.067555,0.066503,0.066503,0.066503,230947
2022-03-07,0.06651,0.067371,0.065893,0.065624,0.065624,383429
2022-03-08,0.065622,0.066612,0.065584,0.066519,0.066519,359419
2022-03-09,0.066529,0.065579,0.066492,0.065021,0.065021,337605
2022-03-10,0.065005,0.065005,0.065973,0.066131,0.066131,337052
2022-03-11,0.066137,0.06653,0.066057,0.065977,0.065977,319176
2022-03-12,0.065979,0.066311,0.065976,0.066182,0.066182,167926
2022-03-13,0.06615,0.06633,0.066367,0.066551,0.066551,228060
2022-03-14,0.066539,0.066419,0.066409,0.065312,0.065312,283472
2022-03-15,0.065311,0.066902,0.065577,0.066605,0.066605,326932
2022-03-16,0.066602,0.067367,0.066471,0.067375,0.067375,435425
2022-03-17,0.067372,0.069163,0.067484,0.068736,0.068736,309764
2022-03-18,0.068726,0.070472,0.068497,0.070461,0.070461,378719
2022-03-19,0.070446,0.070908,0.069638,0.069832,0.069832,274385
2022-03-20,0.069839,0.070055,0.068911,0.069348,0.069348,307525
2022-03-21,0.069339,0.071685,0.069608,0.070548,0.070548,370177
2022-03-22,0.070543,0.070516,0.070561,0.070189,0.070189,397333
2022-03-23,0.07019,0.071113,0.070002,0.070666,0.070666,373226
2022-03-24,0.070666,0.070684,0.070353,0.070701,0.070701,411058
2022-03-25,0.070709,0.071034,0.069994,0.070051,0.070051,384013
2022-03-26,0.070045,0.070393,0.069934,0.070632,0.070632,199466
2022-03-27,0.070646,0.070302,0.070416,0.070302,0.070302,286880
2022-03-28,0.070318,0.07122,0.070115,0.070799,0.070799,437541
2022-03-29,0.070765,0.072326,0.070765,0.071673,0.071673,411525
2022-03-30,0.071663,0.072111,0.071626,0.071929,0.071929,325152
2022-03-31,0.071932,0.072454,0.072106,0.072063,0.072063,388362
2022-04-01,0.072083,0.07454,0.072557,0.074534,0.074534,453376
2022-04-02,0.074539,0.075076,0.07457,0.075107,0.075107,513889
2022-04-03,0.075101,0.07556,0.074967,0.075836,0.075836,330089
2022-04-04,0.075825,0.075572,0.075553,0.075526,0.075526,390582
2022-04-05,0.075526,0.075334,0.074865,0.074892,0.074892,366176
2022-04-06,0.07489,0.07489,0.073396,0.073407,0.073407,593254
2022-04-07,0.073419,0.074405,0.073557,0.074322,0.074322,384920
2022-04-08,0.074322,0.075242,0.075362,0.075485,0.075485,415181
2022-04-09,0.075482,0.076246,0.075552,0.076245,0.076245,231595
2022-04-10,0.07623,0.076455,0.076097,0.076097,0.076097,247042
2022-04-11,0.076043,0.075778,0.075204,0.075428,0.075428,553916
2022-04-12,0.075437,0.075767,0.075045,0.075519,0.075519,504289
2022-04-13,0.075507,0.075827,0.075649,0.075749,0.075749,390813
2022-04-14,0.075736,0.075774,0.075284,0.07562,0.07562,396174
2022-04-15,0.075625,0.075658,0.074968,0.074985,0.074985,277576
2022-04-16,0.07499,0.075696,0.075056,0.075754,0.075754,216866
2022-04-17,0.075743,0.076015,0.075441,0.075368,0.075368,263441
2022-04-18,0.07537,0.07483,0.074485,0.074893,0.074893,456309
